연도,지자체,전기 사용량
2019,경남 창원시 의창구,87067775
2017,경남 창원시 의창구,101302716
2018,경남 창원시 의창구,98511619
2019,경남 창원시 진해구,51416758
2017,경남 창원시 진해구,53785708
2018,경남 창원시 진해구,54530504
2019,경남 통영시,27868799
2017,경남 통영시,27822989
2018,경남 통영시,28501714
2019,경남 하동군,11842355
2017,경남 하동군,12204249
2018,경남 하동군,12331593
2019,경남 함안군,6680707
2017,경남 함안군,6663626
2018,경남 함안군,6629416
2019,경남 함양군,8157044
2017,경남 함양군,8264248
2018,경남 함양군,8555068
2019,경남 합천군,9877135
2017,경남 합천군,11467541
2018,경남 합천군,10349136
2019,경북 경산시,22958003
2017,경북 경산시,22094145
2018,경북 경산시,23601105
2019,경북 경주시,10868812
2018,경북 경주시,11021909
2017,경북 경주시,10260533
2019,경북 고령군,6197590
2017,경북 고령군,6977641
2018,경북 고령군,6750385
2019,경북 구미시,93429409
2018,경북 구미시,97723124
2017,경북 구미시,92352378
2019,경북 군위군,2125735
2018,경북 군위군,2098079
2017,경북 군위군,1956668
2019,경북 김천시,13442575
2018,경북 김천시,14850118
2017,경북 김천시,14371509
2019,경북 문경시,8149526
2018,경북 문경시,8596326
2017,경북 문경시,7893492
2019,경북 봉화군,7198341
2017,경북 봉화군,8058368
2018,경북 봉화군,7375880
2019,경북 상주시,23747346
2017,경북 상주시,26759453
2018,경북 상주시,25918806
2019,경북 성주군,14546157
2017,경북 성주군,15861763
2018,경북 성주군,15320122
2019,경북 안동시,22814620
2018,경북 안동시,25699225
2017,경북 안동시,25449853
2019,경북 영덕군,5326531
2017,경북 영덕군,5085941
2018,경북 영덕군,5129431
2019,경북 영양군,2600041
2017,경북 영양군,3785294
2018,경북 영양군,3370546
2019,경북 영주시,15713426
2017,경북 영주시,16191398
2018,경북 영주시,16054424
2019,경북 영천시,22139545
2017,경북 영천시,27858966
2018,경북 영천시,21828168
2019,경북 예천군,17945290
2018,경북 예천군,18805629
2017,경북 예천군,18733776
2019,경북 울릉군,498014
